id,accession date,credit line,display dimensions,coordinates,public display,district,location,description,source,medium,descriptive medium,artist,title
2,1875,Gift to the city of San Francisco by Lotta Crabtree in 1875.,"24' H X 5'4"" W X 5'4"" L","37.7876664,-122.4034248",Public Display,District 3,Market and Kearny,,San Francisco Arts Commission,iron,cast iron,Anonymous,Lotta's Fountain
3,1879,Gift of Henry D. Cogswell,approx. 15' H,"37.8003423,-122.4101513",Public Display,District 3,Washington Square Park,,San Francisco Arts Commission,pot metal,pot metal,Anonymous,Benjamin Franklin (1706-1790)
4,1885,Acquired in 1885 by public subscription,apron/base/pedestal: 16' H X 17' W X 17' D; sculpture (Garfield): approx. 8' H;,"37.772472, -122.460366",Public Display,District 1,Golden Gate Park,Conservatory lawn,San Francisco Arts Commission,"bronze, granite",bronze and granite,"Happersberger, Frank",James A. Garfield (1831-1881)
5,1886,Gift of the Major General C.W. Callum,8' H,"37.76904,-122.4835193",Public Display,District 1,Golden Gate Park,,San Francisco Arts Commission,granite,granite,"Conrads, Carl H.",General Henry W. Halleck (1815-1872)
6,1887,Gift of James Lick to the City of San Francisco,,"37.7703537,-122.4666711",Public Display,District 1,Golden Gate Park,Music Concourse,San Francisco Arts Commission,"bronze, travertine, marble","bronze, travertine and marble","Story, William Wetmore",Francis Scott Key (1780-1843)
7,1889,Acquired in 1892 Gift of James D. Phelan,,"37.7700645,-122.4825878",Public Display,District 1,Golden Gate Park,JFK,San Francisco Arts Commission,bronze,bronze,"Tilden, Douglas",Ball Thrower
8,1892,Gift of the Starr King Monument Committee,8' H,"37.7703537,-122.4666711",Public Display,District 1,Golden Gate Park,Music Concourse,San Francisco Arts Commission,bronze,bronze,"French, Daniel Chester",Thomas Starr King (1824-1864)
9,1893,Gift of the California Midwinter Exposition,,"37.7703537,-122.4666711",Public Display,District 1,Golden Gate Park,Music Concourse,San Francisco Arts Commission,bronze,bronze,"Geefs, Guillaume",Leonitus (Roman Gladiator)
10,1894,Gift of M.H. de Young,"11' H X 6' 8"" W X 6' 8"" D","37.7703537,-122.4666711",Public Display,District 1,Golden Gate Park,Music Concourse,San Francisco Arts Commission,bronze,bronze,"Dore, Paul Gustave",La poeme de la vigne
11,1894,Gift of M.H. DeYoung and the California Midwinter Fair Commission,,"37.7703537,-122.4666711",Public Display,District 1,Golden Gate Park,Music Concourse,San Francisco Arts Commission,bronze,bronze,"Shields-Clarke, Thomas",The Cider Press
12,1894,Gift of James Mervyn Donahue,,"37.7907874,-122.3994649",Public Display,District 3,Market and Battery,,San Francisco Arts Commission,bronze,bronze,"Tilden, Douglas",Mechanics Monument (Peter Donahue-1829-1885)
13,1894,Gift of James Lick,Figure: 10' H; Pedestal: 30' H,"37.780615, -122.416338",Public Display,District 6,McAllister St.,between Asian Art Museum and Library,San Francisco Arts Commission,"bronze, granite",bronze and granite,"Happersberger, Frank",Pioneer Monument  (James Lick Monument)
14,1897,Gift of James D. Phelan,over life size figure atop a 24' granite shaft,"37.7887757,-122.4020066",Public Display,District 3,Market and Montgomery,,San Francisco Arts Commission,"bronze, granite",bronze and granite,"Tilden, Douglas",Native Sons Monument (Admission Day Monument)
15,1897,Gift of a committee of citizens aided by James D. Phelan in 1897 for Portsmouth Square.,9' H,"37.7947175,-122.4048688",Public Display,District 3,Portsmouth Square,NW Corner,San Francisco Arts Commission,granite,granite,"Porter, Bruce",Robert Louis Stevenson (1850-1894) Memorial
16,1899,Commissioned in 1898 by the architect of the Music Concourse and Claus Spreckles.,20' H,"37.7703537,-122.4666711",Public Display,District 1,Golden Gate Park,Music Concourse,San Francisco Arts Commission,concrete,cast concrete,"Aitken, Robert Ingersoll",Spandrels on Spreckles Temple of Music
17,1901,Gift of a committee of Lauchhammer (Prussian Saxony) citizens with funds for German residents of SF,8' H,"37.7703537,-122.4666711",Public Display,District 1,Golden Gate Park,Music Concourse,San Francisco Arts Commission,"bronze, granite",bronze on pedestal of red missouri granite,"Reitschel, Ernst",Goethe and Schiller
18,1901,Gift of James Mervyn Donahue,15' H; granite base is 6 1/2' H,"37.7907874,-122.3994649",Public Display,District 3,Market and Battery Streets,,San Francisco Arts Commission,bronze,bronze,"Tilden, Douglas",Mechanics Monument (Peter Donahue-1829-1885)
19,1902,Funds raised by public subscription.  Dedicated by President Theodore Roosevelt.,Figure: 12' H; Shaft: 83' H,"37.7880556,-122.4075",Public Display,District 6,Union Square,,San Francisco Arts Commission,"bronze, granite",bronze figure on granite base,"Aitken, Robert Ingersoll","The Dewey Monument (Admiral George Dewey, 1837-1917)"
20,1903,Funds raised by popular subscription,12' H X 10' W on 10' granite base,"37.7691599,-122.4267119",Public Display,District 8,Market and Dolores,,San Francisco Arts Commission,bronze,bronze,"Tilden, Douglas","California Volunteers, Spanish American War, 1898"
21,1903,Private Commission,5'H X 10' L,"37.7703537,-122.4666711",Public Display,District 1,Golden Gate Park,Music Concourse,San Francisco Arts Commission,concrete,cast concrete,"Putnam, Arthur",Sphinx
22,1904,Gift of the San Francisco Bar Association,7 1/2' H Figure; 7 1/2,"37.7793133,-122.4184094",Public Display,District 6,McAllister Street,North Side of City Hall,San Francisco Arts Commission,bronze,bronze,"Aitken, Robert Ingersoll",Hall McAllister (1829-1888)
23,1904,Funds raised by popular subscription,"bronze is 15' H, base is 72 3/4 X 72 3/4 ""","37.771665,-122.454557",Public Display,District 5,Golden Gate Park,Entrance to Panhandle,San Francisco Arts Commission,"bronze, granite, marble","bronze, granite and marble","Aitken, Robert Ingersoll",William McKinley
24,1905,Gift of the sculptor to the city of San Francisco.,,"37.8008791,-122.4109539",Public Display,District 3,Columbus Avenue,at Powell and Union,San Francisco Arts Commission,bronze,bronze,"Cummings, M. Earl",Man Drinking Water
25,1906,Gift of Shreve & Co.,"48""","37.7703537,-122.4666711",Public Display,District 1,Golden Gate Park,Music Concourse,San Francisco Arts Commission,bronze,bronze,"Perry, R. Hinton",Lion
26,1907,Gift of the National Society of Colonial Dames in California.,"30"" sculpture atop a 4' H shaft","37.7703537,-122.4666711",Public Display,District 1,Golden Gate Park,Music Concourse,San Francisco Arts Commission,bronze,bronze,"Cummings, M. Earl",Sun Dial
27,1907,Gift of James D. Phelan,6' H,"37.7703537,-122.4666711",Public Display,District 1,Golden Gate Park,Music Concourse,San Francisco Arts Commission,bronze,bronze,"Tilden, Douglas",Padre Junipero Serra (1713-1784)
28,1908,Gift of the Scots of San Francisco,8' H atop an 8' granite base,"37.76904,-122.4835193",Public Display,District 1,Golden Gate Park,"JFK, near 7th avenue",San Francisco Arts Commission,bronze,bronze,"Cummings, M. Earl",Robert Burns (1759-1796)
29,1908,Gift of a committee of citizens headed by Congressman O'Connor,,"37.7703537,-122.4666711",Public Display,District 1,Golden Gate Park,Music Concourse,San Francisco Arts Commission,bronze,bronze,"Schmid, Rupert",General Ulysses Simpson Grant (1822-1885)
30,1908,Gift of Suzanna Brown,Two 4' L sculptures on 9' H granite boulder,"37.7734009,-122.4658805",Public Display,District 1,Golden Gate Park,Fulton at 8th Ave.,San Francisco Arts Commission,bronze,bronze,"Cummings, M. Earl",Bear and Lion
31,1909,,,"37.7705254,-122.4818391",Public Display,District 1,Golden Gate Park,Lloyd Lake,San Francisco Arts Commission,"marble, concrete",marble and cast concrete,"Brown, Arthur Page",Portals of the Past
