id,accession date,artist,created_at,credit line,display dimensions,geometry,latlon,location_description,descriptive medium,medium,source,title
2,1875,Anonymous,01/01/1970 12:31:15 AM +0000,Gift to the city of San Francisco by Lotta Crabtree in 1875.,"24' H X 5'4"" W X 5'4"" L","-122.4034248,37.7876664","37.7876664,-122.4034248",Public Display : District 3 : Market and Kearny,cast iron,cast iron,San Francisco Arts Commission,Lotta's Fountain
3,1879,Anonymous,01/01/1970 12:31:19 AM +0000,Gift of Henry D. Cogswell,approx. 15' H,"-122.4101513,37.8003423","37.8003423,-122.4101513",Public Display : District 3 : Washington Square Park,Pot metal,pot metal,San Francisco Arts Commission,Benjamin Franklin (1706-1790)
4,1885,"Happersberger, Frank",01/01/1970 12:31:25 AM +0000,Acquired in 1885 by public subscription,apron/base/pedestal: 16' H X 17' W X 17' D; sculpture (Garfield): approx. 8' H;,"-122.4194155,37.7749295","37.7749295,-122.4194155",Public Display : District 1 : GGP : Conservatory lawn,Bronze and granite,bronze and granite,San Francisco Arts Commission,James A. Garfield (1831-1881)
5,1886,"Conrads, Carl H.",01/01/1970 12:31:26 AM +0000,Gift of the Major General C.W. Callum,8' H,"-122.4835193,37.76904","37.76904,-122.4835193","Public Display : District 1 : GGP, south side of JFK",Granite,granite,San Francisco Arts Commission,General Henry W. Halleck (1815-1872)
6,1887,"Story, William Wetmore",01/01/1970 12:31:27 AM +0000,Gift of James Lick to the City of San Francisco,,"-122.4666711,37.7703537","37.7703537,-122.4666711","Public Display : District 1 : GGP, Music Concourse","Bronze, travertine and marble","bronze, travertine and marble",San Francisco Arts Commission,Francis Scott Key (1780-1843)
7,1889,"Tilden, Douglas",01/01/1970 12:31:29 AM +0000,Acquired in 1892 Gift of James D. Phelan,,"-122.4825878,37.7700645","37.7700645,-122.4825878",Public Display : District 1 : GGP : JFK,Bronze,bronze,San Francisco Arts Commission,Ball Thrower
8,1892,"French, Daniel Chester",ca. 1892,Gift of the Starr King Monument Committee,8' H,"-122.4666711,37.7703537","37.7703537,-122.4666711","Public Display : District 1 : GGP, Music Concourse",Bronze,bronze,San Francisco Arts Commission,Thomas Starr King (1824-1864)
9,1893,"Geefs, Guillaume",01/01/1970 12:31:21 AM +0000,Gift of the California Midwinter Exposition,,"-122.4666711,37.7703537","37.7703537,-122.4666711","Public Display : District 1 : GGP, Music Concourse",Bronze,bronze,San Francisco Arts Commission,Leonitus (Roman Gladiator)
10,1894,"Dore, Paul Gustave",1877-1878,Gift of M.H. de Young,"11' H X 6' 8"" W X 6' 8"" D","-122.4666711,37.7703537","37.7703537,-122.4666711",Public Display : District 1 : GGP : Music Concourse,Bronze,bronze,San Francisco Arts Commission,La poeme de la vigne
11,1894,"Shields-Clarke, Thomas",01/01/1970 12:31:32 AM +0000,Gift of M.H. DeYoung and the California Midwinter Fair Commission,,"-122.4666711,37.7703537","37.7703537,-122.4666711","Public Display : District 1 : GGP, Music Concourse",Bronze,bronze,San Francisco Arts Commission,The Cider Press
12,1894,"Tilden, Douglas",01/01/1970 12:31:34 AM +0000,Gift of James Mervyn Donahue,,"-122.3994649,37.7907874","37.7907874,-122.3994649",Public Display : District 3 : Market and Battery,Bronze,bronze,San Francisco Arts Commission,Mechanics Monument (Peter Donahue-1829-1885)
13,1894,"Happersberger, Frank",01/01/1970 12:31:34 AM +0000,Gift of James Lick,Figure: 10' H; Pedestal: 30' H,"-122.4194155,37.7749295","37.7749295,-122.4194155","Public Display : District 6 : McAllister St., between Asian Art Museum and Libra",Bronze and granite,bronze and granite,San Francisco Arts Commission,Pioneer Monument  (James Lick Monument)
14,1897,"Tilden, Douglas",01/01/1970 12:31:37 AM +0000,Gift of James D. Phelan,over life size figure atop a 24' granite shaft,"-122.4020066,37.7887757","37.7887757,-122.4020066",Public Display : District 3 : Market and Montgomery,Bronze and granite,bronze and granite,San Francisco Arts Commission,Native Sons Monument (Admission Day Monument)
