id,accession date,credit line,display dimensions,coordinates,public display,district,location,description,medium,source,artist,title,image url,artist birth,artist death,artist birthplace
2,1875,Gift to the city of San Francisco by Lotta Crabtree in 1875.,"24' H X 5'4"" W X 5'4"" L","37.7876664,-122.4034248",Public Display,District 3,Market and Kearny,,cast iron,San Francisco Arts Commission,Anonymous,Lotta's Fountain,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Lotta's_fountain.jpg/250px-Lotta's_fountain.jpg,,,
3,1879,Gift of Henry D. Cogswell,approx. 15' H,"37.8003423,-122.4101513",Public Display,District 3,Washington Square Park,,pot metal,San Francisco Arts Commission,Anonymous,Benjamin Franklin (1706-1790),http://media.gettyimages.com/photos/california-san-francisco-washington-square-statue-of-benjamin-picture-id84480439,,,
4,1885,Acquired in 1885 by public subscription,apron/base/pedestal: 16' H X 17' W X 17' D; sculpture (Garfield): approx. 8' H;,"37.7749295,-122.4194155",Public Display,District 1,GGP,Conservatory lawn,bronze and granite,San Francisco Arts Commission,"Happersberger, Frank",James A. Garfield (1831-1881),"https://upload.wikimedia.org/wikipedia/commons/0/03/James_Abram_Garfield_Monument,_San_Francisco.jpg",1859,1932,California
5,1886,Gift of the Major General C.W. Callum,8' H,"37.76904,-122.4835193",,,,,granite,San Francisco Arts Commission,"Conrads, Carl H.",General Henry W. Halleck (1815-1872),http://i0.wp.com/www.artandarchitecture-sf.com/wp-content/uploads/2012/02/DSC_3626.jpg,1839,1920,Germany
6,1887,Gift of James Lick to the City of San Francisco,,"37.7703537,-122.4666711",Public Display,District 1,GGP,Music Concourse,"bronze, travertine and marble",San Francisco Arts Commission,"Story, William Wetmore",Francis Scott Key (1780-1843),https://c2.staticflickr.com/8/7222/7004915299_45ec062766_b.jpg,1819,1895,Massachusets
7,1889,Acquired in 1892 Gift of James D. Phelan,,"37.7700645,-122.4825878",Public Display,District 1,GGP,JFK,bronze,San Francisco Arts Commission,"Tilden, Douglas",Ball Thrower,https://baseballrevisited.files.wordpress.com/2012/07/the-baseball-player.jpg,1860,1935,California
8,1892,Gift of the Starr King Monument Committee,8' H,"37.7703537,-122.4666711",Public Display,District 1,GGP,Music Concourse,bronze,San Francisco Arts Commission,"French, Daniel Chester",Thomas Starr King (1824-1864),http://www.yeodoug.com/resources/dc_french/king/dcfrench_king_02.jpg,1850,1931,New Hampshire
9,1893,Gift of the California Midwinter Exposition,,"37.7703537,-122.4666711",Public Display,District 1,GGP,Music Concourse,bronze,San Francisco Arts Commission,"Geefs, Guillaume",Leonitus (Roman Gladiator),http://www.upout.com/blog/wp-content/uploads/Roman-Gladiator.jpg?a39893,1805,1883,Antwerp
10,1894,Gift of M.H. de Young,"11' H X 6' 8"" W X 6' 8"" D","37.7703537,-122.4666711",Public Display,District 1,GGP,Music Concourse,bronze,San Francisco Arts Commission,"Dore, Paul Gustave",La poeme de la vigne,"https://upload.wikimedia.org/wikipedia/commons/4/43/Poeme_de_la_Vigne_by_Gustave_Dore,_created_in_1878_for_Paris_World's_Fair,_this_copy_cast_in_1882,_bronze_-_De_Young_Museum,_Golden_Gate_Park_-_DSC00124.JPG",1832,1883,Strasbourg
11,1894,Gift of M.H. DeYoung and the California Midwinter Fair Commission,,"37.7703537,-122.4666711",Public Display,District 1,GGP,Music Concourse,bronze,San Francisco Arts Commission,"Shields-Clarke, Thomas",The Cider Press,https://upload.wikimedia.org/wikipedia/commons/9/9f/'The_Cider_Press'_by_Thomas_Shields_Clarke.JPG,1860,1920,Pennsylvania
